iter	Passed	Remaining
0	61	61203
1	63	31667
2	65	21614
3	66	16562
4	67	13518
5	69	11495
6	71	10072
7	72	9035
8	75	8319
9	77	7656
10	79	7120
11	83	6898
12	87	6631
13	91	6450
14	95	6240
15	100	6161
16	105	6094
17	111	6077
18	116	6023
19	123	6068
20	129	6014
21	131	5864
22	135	5736
23	136	5552
24	138	5382
25	142	5328
26	144	5222
27	147	5128
28	150	5052
29	154	4986
30	155	4869
31	157	4759
32	158	4656
33	162	4630
34	164	4545
35	167	4473
36	168	4392
37	170	4313
38	172	4240
39	173	4169
40	175	4102
41	177	4041
42	182	4061
43	184	3999
44	186	3962
45	188	3913
46	190	3859
47	193	3834
48	196	3807
49	207	3939
50	215	4008
51	217	3971
52	225	4023
53	227	3993
54	231	3969
55	234	3959
56	237	3932
57	243	3962
58	246	3929
59	247	3882
60	250	3858
61	254	3850
62	256	3814
63	261	3823
64	264	3798
65	280	3968
66	284	3962
67	291	3990
68	295	3984
69	296	3942
70	311	4080
71	315	4071
72	321	4079
73	324	4064
74	327	4035
75	329	4006
76	332	3980
77	341	4040
78	343	4001
79	344	3961
80	345	3924
81	349	3915
82	352	3889
83	354	3861
84	355	3825
85	356	3791
86	358	3758
87	359	3724
88	360	3690
89	362	3664
90	365	3648
91	367	3625
92	369	3600
93	371	3579
94	373	3561
95	375	3536
96	377	3517
97	386	3559
98	390	3552
99	392	3530
100	394	3513
101	396	3488
102	401	3494
103	403	3474
104	404	3449
105	406	3426
106	408	3410
107	417	3450
108	422	3451
109	428	3466
110	432	3465
111	434	3448
112	437	3430
113	438	3408
114	440	3389
115	444	3387
116	446	3366
117	447	3344
118	448	3323
119	450	3301
120	451	3279
121	452	3260
122	454	3241
123	458	3242
124	460	3222
125	461	3202
126	462	3182
127	464	3167
128	466	3151
129	468	3135
130	470	3122
131	472	3104
132	473	3086
133	475	3070
134	476	3054
135	477	3035
136	479	3018
137	480	3001
138	481	2984
139	483	2968
140	484	2954
141	486	2941
142	488	2925
143	490	2913
144	491	2898
145	492	2883
146	496	2879
147	497	2864
148	499	2850
149	500	2838
150	502	2823
151	503	2809
152	505	2799
153	507	2787
154	509	2775
155	512	2770
156	514	2763
157	517	2757
158	524	2774
159	528	2775
160	531	2767
161	533	2759
162	538	2763
163	539	2752
164	541	2742
165	544	2734
166	546	2725
167	550	2725
168	553	2722
169	555	2713
170	562	2724
171	567	2732
172	569	2721
173	571	2711
174	573	2705
175	577	2705
176	581	2705
177	583	2693
178	584	2681
179	587	2674
180	588	2664
181	590	2655
182	593	2650
183	601	2666
184	602	2655
185	604	2645
186	606	2635
187	610	2636
188	613	2632
189	615	2625
190	617	2614
191	618	2603
192	619	2591
193	621	2580
194	622	2571
195	624	2560
196	625	2550
197	627	2542
198	629	2532
199	630	2521
200	631	2511
201	633	2501
202	634	2491
203	635	2480
204	637	2472
205	640	2469
206	642	2462
207	644	2453
208	645	2444
209	647	2435
210	648	2426
211	650	2416
212	651	2407
213	653	2398
214	654	2389
215	655	2380
216	657	2373
217	658	2363
218	660	2354
219	661	2345
220	662	2336
221	663	2326
222	665	2317
223	666	2309
224	668	2302
225	669	2293
226	671	2285
